time,tradeDate,nominal,dv01,recTrader,recEndState,security,platform,buySell,cName,isVoice,won,tradedAway,tiedAway,rejected,sign,countryCode,bondType,currency,securityClass,desk,sector,maturityDate,classification,Salesperson,RMHF
23:51.8,21/11/2019,71657334.17,18300.04409,trader32,CoveredTied,security168,VOICE,Pay,client110,1,0,0,0,0,1,MX,Samurai,JPY,BOND,[NULL],5.5-10,15/02/2025,Floating,salesperson0,RealMoney
14:10.0,21/11/2019,101384039.6,28063.05671,trader29,TradedAwayTied,security169,VOICE,Buy,client85,1,0,0,1,0,1,GB,[NULL],GBP,IRS_GBP,EUR SWAPS,5.5-10,22/06/2028,Floating,salesperson7,HedgeFund
15:04.5,21/11/2019,41361601915,25537149.36,trader6,TradedAwayTied,security170,Tradeweb,Buy,client111,0,0,0,1,0,1,JP,JGB (Reopen),JPY,JGB,[NULL],0-2,31/03/2023,Floating,salesperson3,HedgeFund
36:48.2,21/11/2019,29298061.11,8949.592296,trader29,DoneTied,security171,VOICE,Receive,client85,1,1,0,0,0,-1,ES,SPGB,EUR,EGB,EGB,5.5-10,18/10/2020,Floating,salesperson8,RealMoney
12:33.2,21/11/2019,4296538.256,594.1764858,trader19,TradedAwayTied,security172,Bloomberg,Sell,client109,0,0,0,1,0,-1,ES,SPGB,EUR,EGB,EGB,30+,30/09/2020,Floating,salesperson5,HedgeFund
25:39.5,21/11/2019,1080480.476,338.180496,trader29,Covered,security173,VOICE,Receive,client85,1,0,0,0,0,-1,[NULL],[NULL],JPY,IRS_JPY,[NULL],2-3.5,15/07/2023,Floating,salesperson7,HedgeFund
14:59.3,21/11/2019,2867729.57,201.6685005,trader19,CustomerExpired,security174,Bloomberg,Receive,client109,0,0,0,0,0,-1,EU,[NULL],EUR,IRS_EUR,[NULL],3.5-5.5,22/07/2019,Floating,salesperson2,RealMoney
18:37.0,21/11/2019,1639379.179,528.1175068,trader29,TradedAwayTied,security175,VOICE,Sell,client85,1,0,0,1,0,-1,JP,JPNCorp,JPY,BOND,[NULL],0-2,30/11/2021,Floating,salesperson2,HedgeFund
19:55.3,21/11/2019,6932424.333,1677.589,trader19,TradedAway,security176,Bloomberg,Buy,client109,0,0,1,0,0,1,NL,Samurai,JPY,BOND,[NULL],5.5-10,01/11/2022,Floating,salesperson5,HedgeFund
38:48.5,21/11/2019,6641797.189,2179.646862,trader29,Done,security177,VOICE,Buy,client85,1,1,0,0,0,1,FI,RFGB,EUR,EGB,EGB,5.5-10,19/12/2024,Floating,salesperson7,HedgeFund
22:01.5,21/11/2019,1391067.704,837.6176293,trader12,DealerRejected,security178,Bloomberg,Pay,client109,0,0,0,0,1,1,DE,DBR,EUR,EGB,[NULL],3.5-5.5,15/07/2025,Floating,salesperson6,HedgeFund
24:16.5,21/11/2019,3624964.96,1208.262967,trader29,DoneTied,security179,VOICE,Buy,client85,1,1,0,0,0,1,HK,EuroUSD,USD,BOND,CREDIT-AEJ,0-2,20/03/2020,Floating,salesperson3,HedgeFund
11:21.8,21/11/2019,2226630.984,783.1725208,trader29,Done,security180,VOICE,Receive,client85,1,1,0,0,0,-1,GB,UKT,GBP,GILTS,GILTS,0-2,17/10/2028,Floating,salesperson2,RealMoney
24:14.7,21/11/2019,1093560.754,401.0309759,trader29,TradedAwayTied,security181,VOICE,Sell,client85,1,0,0,1,0,-1,DE,DBR,EUR,EGB,EGB,5.5-10,20/03/2028,Floating,salesperson9,RealMoney
29:50.1,21/11/2019,126541039.1,13208.97326,trader10,CoveredTied,security182,Bloomberg,Pay,client23,0,0,0,0,0,1,US,[NULL],USD,IrsVanilla,USD SWAPS,3.5-5.5,25/11/2024,Floating,salesperson3,HedgeFund
39:04.4,21/11/2019,31124929267,30499854.23,trader6,DoneTied,security162,Yensai,Sell,client112,0,1,0,0,0,-1,IT,BTPS,EUR,EGB,EGB,0-2,19/12/2019,Floating,salesperson2,HedgeFund
28:29.8,21/11/2019,14027754460,1557052.69,trader6,CustomerRejected,security183,Yensai,Receive,client13,0,0,0,0,0,-1,DE,[NULL],GBP,MEDIUM-TERM-NOTE,FBG,2-3.5,22/06/2045,Floating,salesperson1,HedgeFund
19:04.4,21/11/2019,81377162159,141897641.5,trader9,DealerRejected,security184,Yensai,Sell,client11,0,0,0,0,1,-1,GB,UKT,GBP,GILTS,GILTS,30+,15/11/2023,Floating,salesperson6,RealMoney
37:43.3,21/11/2019,210928549.6,367796.1119,trader9,Done,security184,Yensai,Pay,client11,0,1,0,0,0,1,[NULL],[NULL],[NULL],[NULL],UST,0-2,15/11/2039,Floating,salesperson6,RealMoney
40:41.4,21/11/2019,2311146094,21534.90285,trader20,DealerExpired,security69,VOICE,Buy,client113,1,0,0,0,0,1,DE,EuroUSD,USD,BOND,FBG,0-2,08/08/2019,Floating,salesperson0,HedgeFund
17:04.8,21/11/2019,5723113296,14463432.84,trader9,TradedAwayTied,security185,Yensai,Buy,client11,0,0,0,1,0,1,US,[NULL],USD,IrsVanilla,USD SWAPS,5.5-10,15/02/2029,Floating,salesperson1,RealMoney
42:35.2,21/11/2019,16045270.39,6046.138784,trader38,Done,security186,VOICE,Pay,client85,1,1,0,0,0,1,SG,EuroUSD,USD,BOND,CREDIT-AEJ,0-2,25/11/2026,Floating,salesperson2,RealMoney
27:15.6,21/11/2019,4696829334,97898.88996,trader20,DealerExpired,security187,VOICE,Sell,client113,1,0,0,0,0,-1,GB,[NULL],GBP,IRS_GBP,GILTS,2-3.5,18/12/2020,Floating,salesperson8,RealMoney
29:21.4,21/11/2019,12146859.58,4652.653432,trader38,DealerExpired,security188,VOICE,Buy,client85,1,0,0,0,0,1,PT,PGB,EUR,EGB,EGB,3.5-5.5,30/07/2023,Floating,salesperson3,RealMoney
27:39.4,21/11/2019,1561970.412,639.4600541,trader38,DealerRejected,security189,VOICE,Sell,client85,1,0,0,0,1,-1,FR,FRTR,EUR,EGB,[NULL],5.5-10,15/03/2034,Floating,salesperson4,HedgeFund
34:06.3,21/11/2019,2466514.456,1047.186017,trader38,Done,security190,VOICE,Pay,client85,1,1,0,0,0,1,DE,DBR,EUR,EGB,[NULL],3.5-5.5,15/03/2026,Floating,salesperson8,HedgeFund
37:22.5,21/11/2019,80373234728,9031540.386,trader6,DealerExpired,security191,Tradeweb,Buy,client111,0,0,0,0,0,1,GB,UKT,GBP,GBP_INFLATION,INF-EMEA,Oct-30,30/09/2023,Floating,salesperson1,RealMoney
38:56.0,21/11/2019,16461270187,184973.9018,trader39,Done,security192,VOICE,Pay,client114,1,1,0,0,0,1,DE,EuroEUR,EUR,EGB,INF-EMEA,0-2,15/04/2030,Floating,salesperson6,HedgeFund
35:09.2,21/11/2019,1850785.319,815.306117,trader38,CoveredTied,security193,VOICE,Pay,client85,1,0,0,0,0,1,PT,PGB,EUR,EGB,EGB,0-2,15/10/2019,Floating,salesperson3,HedgeFund
46:21.0,21/11/2019,5596206170,9244833.836,trader9,TradedAway,security194,Yensai,Pay,client11,0,0,1,0,0,1,DE,[NULL],GBP,MEDIUM-TERM-NOTE,FBG,0-2,20/12/2037,Floating,salesperson8,RealMoney
46:38.6,21/11/2019,42060737001,75620434.82,trader9,CustomerExpired,security29,Yensai,Receive,client11,0,0,0,0,0,-1,SNAT,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,19/06/2023,Floating,salesperson8,RealMoney
21:54.0,21/11/2019,92906839.41,296796.4729,trader9,CoveredTied,security17,Yensai,Sell,client15,0,0,0,0,0,-1,AT,RAGB,EUR,EGB,INF-EMEA,2-3.5,15/03/2037,Floating,salesperson3,RealMoney
30:19.4,21/11/2019,233603392.6,405457.6218,trader9,TradedAway,security195,Yensai,Market,client11,0,0,1,0,0,[NULL],DE,EuroUSD,USD,BOND,FBG,5.5-10,20/06/2019,Floating,salesperson8,RealMoney
31:20.7,21/11/2019,10825662.8,4697.397438,trader38,TradedAway,security196,VOICE,Sell,client85,1,0,1,0,0,-1,GB,UKT,GBP,GBP_INFLATION,INF-EMEA,30+,24/01/2022,Floating,salesperson0,HedgeFund
37:22.3,21/11/2019,38179641.99,44975.61826,trader9,DealerRejected,security197,Yensai,Sell,client11,0,0,0,0,1,-1,DE,EuroEUR,EUR,EGB_INFLATION,INF-EMEA,5.5-10,02/03/2026,Floating,salesperson2,HedgeFund
41:32.2,21/11/2019,18964498.76,8474.381391,trader38,TradedAway,security198,VOICE,Receive,client85,1,0,1,0,0,-1,ID,Samurai,JPY,BOND,[NULL],2-3.5,01/11/2022,Floating,salesperson1,RealMoney
31:15.3,21/11/2019,20843926710,52018257.9,trader9,TradedAway,security199,Yensai,Pay,client11,0,0,1,0,0,1,JP,JGB (Reopen),JPY,JGB,JGB,30+,31/05/2023,Floating,salesperson6,HedgeFund
27:50.3,21/11/2019,139994577.4,63774.66815,trader38,TradedAway,security200,VOICE,Sell,client85,1,0,1,0,0,-1,NL,NETHER,EUR,EGB_BILLS,EUR BILLS,0-2,15/08/2024,Floating,salesperson1,HedgeFund
30:15.4,21/11/2019,256869967.8,624398.5664,trader9,TradedAway,security201,Yensai,Sell,client11,0,0,1,0,0,-1,SG,[NULL],USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,2-3.5,20/06/2037,Floating,salesperson1,HedgeFund
28:42.1,21/11/2019,997583523.1,459043.2775,trader38,TradedAwayTied,security202,VOICE,Sell,client85,1,0,0,1,0,-1,US,[NULL],USD,IrsVanilla,JGB,0-2,31/10/2046,Floating,salesperson2,HedgeFund
23:03.1,21/11/2019,1569537978,3670312.243,trader9,TradedAway,security203,Yensai,Market,client11,0,0,1,0,0,[NULL],US,[NULL],USD,IrsVanilla,USD SWAPS,5.5-10,25/11/2025,Floating,salesperson2,RealMoney
35:49.7,21/11/2019,8931630796,20358026.38,trader9,CustomerExpired,security204,Yensai,Sell,client11,0,0,0,0,0,-1,GB,UKT,GBP,GILTS,GILTS,0-2,14/04/2023,Floating,salesperson1,HedgeFund
35:16.7,21/11/2019,3110003016,6683745.178,trader9,CustomerRejected,security205,Yensai,Buy,client11,0,0,0,0,0,1,TH,THAIGB,THO,BOND,[NULL],Oct-30,01/03/2023,Floating,salesperson7,HedgeFund
43:14.7,21/11/2019,395295757.2,[NULL],trader16,DealerRejected,security206,VOICE,Pay,client115,1,0,0,0,1,1,DE,EuroEUR,EUR,EGB,INF-EMEA,0-2,30/08/2019,Floating,salesperson4,RealMoney
26:51.1,21/11/2019,7654340856,2619774.701,trader6,CustomerRejected,security207,Yensai,Sell,client116,0,0,0,0,0,-1,US,TBOND,USD,NOTE,USD SWAPS,5.5-10,15/06/2022,Floating,salesperson5,RealMoney
42:00.8,21/11/2019,2410718839,825092.6299,trader6,DoneTied,security207,Yensai,Receive,client116,0,1,0,0,0,-1,DE,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,15/02/2045,Floating,salesperson7,HedgeFund
32:35.4,21/11/2019,3424328.113,1294.053676,trader10,CoveredTied,security208,Tradeweb,Receive,client107,0,0,0,0,0,-1,EU,[NULL],EUR,IRS_EUR,[NULL],5.5-10,17/10/2022,Floating,salesperson1,RealMoney
52:35.3,21/11/2019,56255382.2,26685.2454,trader10,DealerRejected,security122,Tradeweb,Pay,client107,0,0,0,0,1,1,GR,GGB,EUR,EGB,EGB,2-3.5,20/12/2023,Floating,salesperson1,RealMoney
44:54.4,21/11/2019,791982.862,245.0488149,trader10,CoveredTied,security209,Tradeweb,Receive,client107,0,0,0,0,0,-1,US,TSTRIP,USD,TSTRIP,UST,Oct-30,31/01/2023,Floating,salesperson8,HedgeFund
27:02.5,21/11/2019,98613486.65,8488.669534,trader40,Covered,security210,VOICE,Buy,client43,1,0,0,0,0,1,ES,SPGB,EUR,EGB,EGB,2-3.5,19/02/2038,Floating,salesperson6,RealMoney
27:20.9,21/11/2019,70344943.56,61420.4051,trader40,CoveredTied,security211,VOICE,Receive,client43,1,0,0,0,0,-1,JP,EuroUSD,USD,BOND,[NULL],0-2,02/03/2026,Floating,salesperson0,HedgeFund
31:29.4,21/11/2019,3140044052,2741672.222,trader40,DoneTied,security211,VOICE,Buy,client43,1,1,0,0,0,1,FR,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,31/01/2023,Floating,salesperson9,RealMoney
52:52.3,21/11/2019,2307177973,214234.6657,trader40,DealerRejected,security212,VOICE,Sell,client43,1,0,0,0,1,-1,FI,RFGB,EUR,EGB,INF-EMEA,3.5-5.5,21/03/2047,Floating,salesperson3,RealMoney
44:06.0,21/11/2019,128322872.3,57940.53954,trader40,DealerRejected,security213,VOICE,Buy,client43,1,0,0,0,1,1,AU,ACGB,AUD,ACGB,$ BLOCK,5.5-10,01/01/2021,Floating,salesperson4,RealMoney
42:19.1,21/11/2019,6303399765,6053432.906,trader40,Covered,security214,VOICE,Buy,client43,1,0,0,0,0,1,FR,FRTR,EUR,EGB,EGB,3.5-5.5,31/07/2025,Floating,salesperson0,RealMoney
28:13.8,21/11/2019,168120906.6,154774.141,trader40,Done,security215,VOICE,Buy,client43,1,1,0,0,0,1,GB,UKT,GBP,GILTS,GILTS,3.5-5.5,30/11/2021,Floating,salesperson6,HedgeFund
55:18.1,21/11/2019,105522791.5,97145.5587,trader40,DoneTied,security215,VOICE,Sell,client43,1,1,0,0,0,-1,JP,JGB (Reopen),JPY,JGB,JGB,0-2,04/01/2039,Floating,salesperson5,HedgeFund
37:29.3,21/11/2019,1319474331,2663859.4,trader40,DealerExpired,security216,VOICE,Buy,client43,1,0,0,0,0,1,ID,INDON,IDO,BOND,[NULL],5.5-10,01/03/2024,Floating,salesperson9,HedgeFund
25:38.0,21/11/2019,363901964.7,349471.1124,trader40,DealerRejected,security214,VOICE,Pay,client43,1,0,0,0,1,1,JP,JTDB,JPY,JGB_BILLS,JGB,0-2,05/02/2025,Floating,salesperson4,RealMoney
27:22.9,21/11/2019,2139099409,3373595.574,trader40,TradedAway,security217,VOICE,Receive,client43,1,0,1,0,0,-1,SG,[NULL],USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,0-2,25/05/2022,Floating,salesperson2,HedgeFund
52:33.2,21/11/2019,117683119.1,237588.012,trader40,DoneTied,security216,VOICE,Pay,client43,1,1,0,0,0,1,NL,Samurai,JPY,BOND,[NULL],5.5-10,07/12/2040,InfLinked,salesperson2,RealMoney
45:07.2,21/11/2019,2393870997,206064.9156,trader40,CustomerRejected,security210,VOICE,Receive,client43,1,0,0,0,0,-1,AT,RAGB,EUR,EGB,INF-EMEA,3.5-5.5,15/05/2031,Floating,salesperson4,RealMoney
25:05.4,21/11/2019,43747662503,0,trader41,TradedAway,security218,TrueEX,Pay,client117,0,0,1,0,0,1,JP,JPNCorp,JPY,BOND,[NULL],0-2,02/04/2024,RENTEN,salesperson0,HedgeFund
55:16.0,21/11/2019,117672234.6,99982.91066,trader40,CoveredTied,security219,VOICE,Receive,client43,1,0,0,0,0,-1,AU,ACGB,AUD,ACGB,$ BLOCK,5.5-10,15/07/2022,InfLinked,salesperson0,HedgeFund
45:43.7,21/11/2019,151422085.9,139401.0045,trader40,Done,security215,VOICE,Pay,client43,1,1,0,0,0,1,IE,IRISH,EUR,EGB,EGB,5.5-10,22/03/2034,InfLinked,salesperson2,HedgeFund
48:48.7,21/11/2019,9732614335,178594.9373,trader40,DealerRejected,security220,VOICE,Buy,client43,1,0,0,0,1,1,AT,RAGB,EUR,EGB,EGB,30+,15/02/2029,InfLinked,salesperson5,RealMoney
38:59.8,21/11/2019,162432114.7,155990.7264,trader40,Covered,security214,VOICE,Sell,client43,1,0,0,0,0,-1,GB,UKT,GBP,GILTS,GILTS,0-2,07/09/2034,InfLinked,salesperson1,RealMoney
36:38.3,21/11/2019,497296350.6,42807.37376,trader40,CoveredTied,security210,VOICE,Sell,client43,1,0,0,0,0,-1,AT,RAGB,EUR,EGB,INF-EMEA,2-3.5,30/11/2021,InfLinked,salesperson6,HedgeFund
26:17.1,21/11/2019,126533477,2321.908339,trader40,DealerExpired,security220,VOICE,Sell,client43,1,0,0,0,0,-1,GB,UKT,GBP,GBP_INFLATION,INF-EMEA,5.5-10,15/07/2022,InfLinked,salesperson5,HedgeFund
32:24.4,21/11/2019,8341576390,4509118.683,trader40,DoneTied,security221,VOICE,Buy,client43,1,1,0,0,0,1,DE,EuroGBP,GBP,MEDIUM-TERM-NOTE,FBG,5.5-10,28/06/2025,InfLinked,salesperson5,HedgeFund
46:36.6,21/11/2019,2030645823,1097684.969,trader40,CustomerRejected,security221,VOICE,Sell,client43,1,0,0,0,0,-1,GB,UKT,GBP,GBP_INFLATION,INF-EMEA,30+,15/11/2044,InfLinked,salesperson8,HedgeFund
46:49.3,21/11/2019,81806203.39,78562.10648,trader40,Covered,security214,VOICE,Sell,client43,1,0,0,0,0,-1,US,TBOND,USD,TBOND,UST,Oct-30,22/06/2028,InfLinked,salesperson4,RealMoney
54:46.6,21/11/2019,141465865,130235.1871,trader40,DoneTied,security215,VOICE,Sell,client43,1,1,0,0,0,-1,ES,SPGB,EUR,EGB,EGB,3.5-5.5,31/05/2023,InfLinked,salesperson1,HedgeFund
47:01.1,21/11/2019,2277411142,196040.0269,trader40,DealerRejected,security210,VOICE,Buy,client43,1,0,0,0,1,1,HK,EuroUSD,USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,2-3.5,20/03/2024,InfLinked,salesperson5,RealMoney
27:54.5,21/11/2019,79215329.73,76073.97619,trader40,Done,security214,VOICE,Receive,client43,1,1,0,0,0,-1,HK,EuroUSD,USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,5.5-10,22/10/2024,InfLinked,salesperson1,RealMoney
32:54.8,21/11/2019,2791461724,2680763.855,trader40,CustomerExpired,security214,VOICE,Buy,client43,1,0,0,0,0,1,IT,BTPS,EUR,EGB,EGB,30+,05/02/2029,InfLinked,salesperson6,RealMoney
36:44.1,21/11/2019,278390980.9,562037.7857,trader40,TradedAway,security216,VOICE,Market,client43,1,0,1,0,0,[NULL],SG,EuroUSD,USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,2-3.5,25/05/2021,InfLinked,salesperson0,RealMoney
45:44.9,21/11/2019,117279168.1,236772.4837,trader40,CoveredTied,security216,VOICE,Receive,client43,1,0,0,0,0,-1,DE,EuroEUR,EUR,EGB_INFLATION,INF-EMEA,5.5-10,12/08/2019,InfLinked,salesperson0,HedgeFund
47:29.3,21/11/2019,98030082.93,55236.02449,trader40,Covered,security222,VOICE,Sell,client43,1,0,0,0,0,-1,GB,[NULL],GBP,IRS_GBP,GILTS,2-3.5,15/02/2039,InfLinked,salesperson3,RealMoney
49:01.4,21/11/2019,1065886937,1681021.199,trader40,CoveredTied,security217,VOICE,Pay,client43,1,0,0,0,0,1,HK,[NULL],USD,BOND,CREDIT-AEJ,2-3.5,31/07/2021,InfLinked,salesperson4,RealMoney
36:50.7,21/11/2019,1146831473,646193.591,trader40,DealerExpired,security222,VOICE,Sell,client43,1,0,0,0,0,-1,US,[NULL],USD,IrsImm,USD SWAPS,Oct-30,18/12/2021,InfLinked,salesperson7,HedgeFund
33:48.0,21/11/2019,97150864.99,17835.15846,trader40,CoveredTied,security223,VOICE,Sell,client43,1,0,0,0,0,-1,IT,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,Oct-30,25/03/2022,InfLinked,salesperson6,HedgeFund
45:43.7,21/11/2019,2398187552,1082833.312,trader40,DealerRejected,security213,VOICE,Buy,client43,1,0,0,0,1,1,GB,UKT,GBP,GILTS,GILTS,0-2,31/10/2048,InfLinked,salesperson1,HedgeFund
32:49.5,21/11/2019,47749343.36,1597.470224,trader40,Done,security224,VOICE,Receive,client43,1,1,0,0,0,-1,IT,BTPS,EUR,EGB,EGB,30+,18/04/2021,InfLinked,salesperson4,HedgeFund
45:52.3,21/11/2019,3590005204,2724743.479,trader40,DoneTied,security225,VOICE,Buy,client43,1,1,0,0,0,1,HK,EuroUSD,USD,BOND,CREDIT-AEJ,2-3.5,02/01/2020,InfLinked,salesperson8,HedgeFund
25:31.4,21/11/2019,536664915.9,290099.3392,trader40,DealerExpired,security221,VOICE,Buy,client43,1,0,0,0,0,1,SG,EuroUSD,USD,BOND,CREDIT-AEJ,0-2,20/09/2019,InfLinked,salesperson3,RealMoney
49:45.4,21/11/2019,30996964.06,48885.6293,trader40,DealerRejected,security217,VOICE,Buy,client43,1,0,0,0,1,1,IT,TBILL,EUR,EGB_BILLS,[NULL],0-2,31/10/2048,InfLinked,salesperson5,RealMoney
37:55.0,21/11/2019,106024596.9,57312.60713,trader40,CustomerExpired,security221,VOICE,Receive,client43,1,0,0,0,0,-1,SG,[NULL],USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,2-3.5,15/07/2027,NEDWBK,salesperson7,HedgeFund
47:27.9,21/11/2019,1236935670,1050990.737,trader40,Covered,security219,VOICE,Receive,client43,1,0,0,0,0,-1,FI,RFGB,EUR,EGB,EGB,5.5-10,09/05/2019,BNG,salesperson9,RealMoney
47:23.1,21/11/2019,156950699,144490.7127,trader40,CustomerRejected,security215,VOICE,Buy,client43,1,0,0,0,0,1,ES,EuroEUR,EUR,EGB_INFLATION,INF-EMEA,5.5-10,21/10/2024,Nominal,salesperson6,HedgeFund
28:42.3,21/11/2019,696417355.2,641130.2442,trader40,CustomerRejected,security215,VOICE,Buy,client43,1,0,0,0,0,1,CN,EuroUSD,USD,BOND,[NULL],0-2,15/02/2042,EFSF,salesperson3,RealMoney
29:00.2,21/11/2019,4861588439,2739310.323,trader40,Covered,security222,VOICE,Pay,client43,1,0,0,0,0,1,DE,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,Oct-30,21/02/2038,COE,salesperson3,HedgeFund
31:42.2,21/11/2019,61443095.46,96902.53478,trader40,DealerRejected,security217,VOICE,Sell,client43,1,0,0,0,1,-1,NL,NETHER,EUR,EGB,EGB,5.5-10,02/02/2042,Floating,salesperson5,HedgeFund
38:38.8,21/11/2019,318760570.6,293454.8385,trader40,DealerRejected,security215,VOICE,Sell,client43,1,0,0,0,1,-1,US,TBOND (IL),USD,TIPS-BOND,INF-AMER,Oct-30,30/03/2032,Floating,salesperson7,RealMoney
42:42.4,21/11/2019,64291990.22,2150.909998,trader40,DealerRejected,security224,VOICE,Pay,client43,1,0,0,0,1,1,SNAT,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,30/07/2023,Floating,salesperson9,HedgeFund
38:29.5,21/11/2019,480960600.5,271002.0304,trader40,CoveredTied,security222,VOICE,Buy,client43,1,0,0,0,0,1,AU,ACGB,AUD,ACGB,JGB,3.5-5.5,05/02/2028,Floating,salesperson2,HedgeFund
28:16.2,21/11/2019,95617424.72,43173.32585,trader40,CustomerExpired,security213,VOICE,Sell,client43,1,0,0,0,0,-1,LU,EuroGBP,GBP,MEDIUM-TERM-NOTE,FBG,2-3.5,31/07/2021,Floating,salesperson5,HedgeFund
49:47.5,21/11/2019,833909262.3,450777.6059,trader40,Covered,security221,VOICE,Receive,client43,1,0,0,0,0,-1,FI,RFGB,EUR,EGB,EGB,5.5-10,14/05/2025,Floating,salesperson2,RealMoney
38:11.9,21/11/2019,3490977457,324157.216,trader40,TradedAway,security212,VOICE,Receive,client43,1,0,1,0,0,-1,FR,FRTR,EUR,EGB,EUR BILLS,0-2,01/10/2031,Floating,salesperson0,HedgeFund
28:56.4,21/11/2019,92966447.01,70559.70836,trader40,Covered,security225,VOICE,Pay,client43,1,0,0,0,0,1,FR,TBILL,EUR,EGB_BILLS,EUR BILLS,0-2,25/10/2019,Floating,salesperson7,RealMoney
31:59.9,21/11/2019,94690553.47,42754.82353,trader40,Done,security213,VOICE,Pay,client43,1,1,0,0,0,1,BE,BGB,EUR,EGB,EGB,Oct-30,15/12/2021,Floating,salesperson1,RealMoney
50:22.0,21/11/2019,3582748001,2719235.404,trader40,Done,security225,VOICE,Receive,client43,1,1,0,0,0,-1,CA,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,Oct-30,22/06/2020,Floating,salesperson7,HedgeFund
52:06.0,21/11/2019,95502716.88,81146.07192,trader40,DoneTied,security219,VOICE,Buy,client43,1,1,0,0,0,1,DE,EuroEUR,EUR,EGB,EGB,3.5-5.5,16/02/2021,Floating,salesperson8,RealMoney
53:26.3,21/11/2019,106289250.2,97851.16993,trader40,DealerRejected,security215,VOICE,Sell,client43,1,0,0,0,1,-1,IT,[NULL],EUR,EGB,EGB,5.5-10,15/04/2022,Floating,salesperson3,RealMoney
28:17.6,21/11/2019,117924406.5,63745.16276,trader40,TradedAway,security221,VOICE,Market,client43,1,0,1,0,0,[NULL],FR,FRTR,EUR,EGB,INF-EMEA,0-2,04/01/2031,Floating,salesperson9,RealMoney
32:22.6,21/11/2019,182287479.8,102711.6922,trader40,TradedAway,security222,VOICE,Market,client43,1,0,1,0,0,[NULL],PH,EuroUSD,USD,BOND,CREDIT-AEJ,Oct-30,20/06/2022,Floating,salesperson2,RealMoney
44:23.4,21/11/2019,71729941.35,60946.98842,trader40,Done,security219,VOICE,Receive,client43,1,1,0,0,0,-1,EU,[NULL],EUR,IRS_EUR,[NULL],5.5-10,22/01/2044,Floating,salesperson2,HedgeFund
47:02.8,21/11/2019,287196071.7,217976.1808,trader40,Done,security225,VOICE,Receive,client43,1,1,0,0,0,-1,US,[NULL],USD,IrsVanilla,USD SWAPS,Oct-30,25/06/2039,Floating,salesperson1,HedgeFund
54:09.8,21/11/2019,262245012.1,48143.4864,trader40,DoneTied,security223,VOICE,Buy,client43,1,1,0,0,0,1,AU,[NULL],AUD,BOND,CREDIT-AEJ,5.5-10,31/10/2046,Floating,salesperson1,RealMoney
55:27.2,21/11/2019,291473909.7,164233.8712,trader40,DealerRejected,security222,VOICE,Sell,client43,1,0,0,0,1,-1,JP,JGB (Reopen),JPY,JGB,JGB,Oct-30,30/09/2024,Floating,salesperson6,RealMoney
26:30.4,21/11/2019,102102617.3,89149.03896,trader40,CustomerRejected,security211,VOICE,Pay,client43,1,0,0,0,0,1,[NULL],[NULL],JPY,IRS_JPY,[NULL],2-3.5,01/09/2028,Floating,salesperson7,RealMoney
42:46.1,21/11/2019,77114401.39,67331.0338,trader40,CustomerRejected,security211,VOICE,Sell,client43,1,0,0,0,0,-1,FR,FRTR,EUR,EGB,EGB,Oct-30,01/03/2022,Floating,salesperson8,HedgeFund
37:37.7,21/11/2019,2.81584E+11,488742635,trader9,DealerExpired,security195,Yensai,Sell,client100,0,0,0,0,0,-1,[NULL],[NULL],GBP,Bond,FBG,2-3.5,16/02/2021,Floating,salesperson8,HedgeFund
45:46.0,21/11/2019,26353837.5,2315.810818,trader42,CustomerExpired,security226,VOICE,Receive,client85,1,0,0,0,0,-1,SG,EuroUSD,USD,BOND,CREDIT-AEJ,2-3.5,15/07/2023,Floating,salesperson3,HedgeFund
54:24.5,21/11/2019,893406.5822,84.99639789,trader10,TradedAway,security227,Tradeweb,Buy,client118,0,0,1,0,0,1,JP,JGB (Reopen),JPY,JGB,JGB,2-3.5,18/04/2021,Floating,salesperson8,HedgeFund
35:25.6,21/11/2019,157038.0153,150.4105243,trader12,Done,security35,Tradeweb,Buy,client20,0,1,0,0,0,1,IT,BTPS,EUR,EGB,EGB,Oct-30,15/01/2037,Floating,salesperson1,HedgeFund
32:38.7,21/11/2019,2670299.941,1619.622624,trader12,DealerRejected,security228,Bloomberg,Pay,client8,0,0,0,0,1,1,DE,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,18/09/2019,Floating,salesperson2,RealMoney
51:16.6,21/11/2019,1167404.19,1960.549401,trader19,DealerRejected,security229,Bloomberg,Buy,client8,0,0,0,0,1,1,JP,JGB (Reopen),JPY,JGB,JGB,3.5-5.5,10/03/2025,Floating,salesperson9,RealMoney
